course_id,course_item_id,assessment_id
"POZJ3uOtEeSoXCIACw4Gzg","Q3ydh","QtIY9uOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","dUT2M","A0XgSvlIEeS7YiIAC0KBkQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","ljbCo","PysxSuOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","wiSdB","QN1N4eOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","iFuUg","P7GfzOOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","eBNe7","Q0Umy-OtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","y77WO","Q07qz-OtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","mHZLg","K7qVnQjhEeWCQyIAC5XEog@1"
"POZJ3uOtEeSoXCIACw4Gzg","fGSCT","TAkmugjhEeWCQyIAC5XEog@1"
"POZJ3uOtEeSoXCIACw4Gzg","Vxdg2","QPyVu-OtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@14"
"POZJ3uOtEeSoXCIACw4Gzg","mHZLg","K7qVnQjhEeWCQyIAC5XEog@8"
"POZJ3uOtEeSoXCIACw4Gzg","HD5V6","Q0nhveOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","dUT2M","A0XgSvlIEeS7YiIAC0KBkQ@4"
"POZJ3uOtEeSoXCIACw4Gzg","iFuUg","P7GfzOOtEeS_7SIACxCfaQ@8"
"POZJ3uOtEeSoXCIACw4Gzg","cFvam","QO4Wx-OtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","g4SnF","QjZ1heOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","sNQuq","QsBlsOOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","fGSCT","TAkmugjhEeWCQyIAC5XEog@2"
"POZJ3uOtEeSoXCIACw4Gzg","klaji","QrYsfOOtEeS_7SIACxCfaQ@4"
"POZJ3uOtEeSoXCIACw4Gzg","du7Yk","Px5gCOOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","RfSxV","PqJsa-niEeSBAyIAC0yDbg@3"
"POZJ3uOtEeSoXCIACw4Gzg","hJxJk","Q1OkweOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","ka1Nf","8-x_H4fPEeSb9SIACzCJlg@3"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@4"
"POZJ3uOtEeSoXCIACw4Gzg","iFuUg","P7GfzOOtEeS_7SIACxCfaQ@6"
"POZJ3uOtEeSoXCIACw4Gzg","mHZLg","K7qVnQjhEeWCQyIAC5XEog@4"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@24"
"POZJ3uOtEeSoXCIACw4Gzg","iFuUg","P7GfzOOtEeS_7SIACxCfaQ@4"
"POZJ3uOtEeSoXCIACw4Gzg","1r2Gs","Qhctr-OtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","N1LnH","Qk6RbeOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","0qMnN","Qt-tjOOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","8fVvc","P6ATluOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","yPxOc","QlNzb-OtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","xz5Zr","czAAS_7HEeSoGSIAC9hEHA@2"
"POZJ3uOtEeSoXCIACw4Gzg","gX8vK","2vkPlgjgEeWRIiIAC9lFJw@1"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@13"
"POZJ3uOtEeSoXCIACw4Gzg","O3H0j","QOLzM-OtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","uTTWn","QOhKZeOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","klaji","QrYsfOOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","gX8vK","2vkPlgjgEeWRIiIAC9lFJw@3"
"POZJ3uOtEeSoXCIACw4Gzg","JiH1W","86CCsYfPEeSb9SIACzCJlg@3"
"POZJ3uOtEeSoXCIACw4Gzg","nBkTi","Qq_q6uOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@5"
