taiwan_discussions_user_id,course_id,discussion_question_id,discussion_question_vote_value,discussion_question_vote_ts
ac42bbaef7ffacda82edb86955f70c384e204a36,"POZJ3uOtEeSoXCIACw4Gzg","Nv0buROvEeWmISIAC9QOog",1,2015-06-15 22:59:27.773
d235fb54ad258037707b6efbade1e76e954d84a5,"POZJ3uOtEeSoXCIACw4Gzg","v9Uq-2ckEeW1ShIhri4C5Q",1,2015-09-30 05:48:49.065
1115a3d8d8099f51bf4f11a1f1df325e70cf3267,"POZJ3uOtEeSoXCIACw4Gzg","v9Uq-2ckEeW1ShIhri4C5Q",1,2015-10-06 00:40:38.683
2b62b0a07d54651220224022b4e3ab92f13e63b6,"POZJ3uOtEeSoXCIACw4Gzg","v9Uq-2ckEeW1ShIhri4C5Q",1,2015-11-28 19:04:07.196
6c2a8184e3e27ecefc3924f005d561a367ad7b53,"POZJ3uOtEeSoXCIACw4Gzg","AzTGsBPKEeWM2iIAC0KUpw",1,2015-07-08 11:50:54.291
2cf49b52e1ded47641289f046dcbccc2ecbf2cf0,"POZJ3uOtEeSoXCIACw4Gzg","AzTGsBPKEeWM2iIAC0KUpw",1,2016-03-04 08:35:39.579
0f8c4f696dd620bdbae4b5a3b3ef90ae9773f19a,"POZJ3uOtEeSoXCIACw4Gzg","AzTGsBPKEeWM2iIAC0KUpw",1,2015-06-16 13:14:11.68
fe46a6917118fdb2e87021966e7db9918ee3cb26,"POZJ3uOtEeSoXCIACw4Gzg","AzTGsBPKEeWM2iIAC0KUpw",1,2015-06-16 08:03:29.644
f930c60eeda32fd9768f92f4b9fde03393b6700c,"POZJ3uOtEeSoXCIACw4Gzg","bRxm8lnHEeWkVgp3YUjFSw",1,2015-09-23 05:46:29.948
4cbe59d0a3abee602f70c93a76e971c8c7ec5a21,"POZJ3uOtEeSoXCIACw4Gzg","WmXkQBQ0EeWHGCIACznL2w",1,2015-06-21 05:13:31.966
e4c22103c597c97d163fbb4b007ff350f14b5727,"POZJ3uOtEeSoXCIACw4Gzg","WmXkQBQ0EeWHGCIACznL2w",1,2015-06-18 01:43:51.661
