taiwan_user_id,course_id,met_payment_condition,was_payment,was_finaid_grant,was_group_sponsored
b848a3578cca91d25ecb439ae5b175e526658405,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
2b7ea38cbf92186516506d9daa9f69fb71e1f54a,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
74be72ce08a86587aa643fc28d2eac67e073e3ed,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
bebd187d94eeabf46f31dbaf4bc3e0594e0d8a81,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
b38cf22790ee05db582dbfbb85fd6a7ef06384cd,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
d1b47f503405312f8d0b8dab50e1e9fa6b05c7f2,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
e2dbe9197def2d4edc8012692e77f31f9426bdfe,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
d1dc8c1cf7ecb670ee1ddfeb5bc091c5caf0af85,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
401fded515d249aa8b25f76f444f3f2501e53e0e,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
7faec96cf5298fba792bc76951107005eb2f3924,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
5991f2d2607c83be0d492dd29608bf87c41ff531,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
065ac5ae77cd28e6bfbfdef39fd56daaf4d66fec,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
863379e3a6f4b18aece8e7a337af96d882cc7705,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
8c34305bb3a5465d4efeb411297a35fcd065b807,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
45bc18d043ae1a7facd11a5cd80956296bdb8f1c,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
16b80e6d92ba49b3e019805a6d829c4295aeaa04,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
a558834a21ad5bb8cd9cc3133402e23da63ad9ec,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
6a5a0b116c94c36fbe78c57281edb6aba2c12569,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
4cdb01f04bba1cd8bc0d0cea90c51f5f22e1a474,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
87c49e13ea08a68b71b7503e1633a1de46507805,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
8da0727dec6ea79f0c399504bc48d86f211a8876,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
0987afd67adb33f29eca12634914fdc2dddcdb2d,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
d2c01c15a09a1863cfa8dd81b879a9487b4ac067,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
cd54712813ea7066759d3c26a6e1da28132dbb14,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
95a7b09d2b52fcd359962ca0f86bfd3684ca71d6,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
646c0cbcd9344d7b792fb322a06eb30b22389368,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
1668209170c73f7aed2ba145824e77839649ecc8,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
