course_id,taiwan_feedback_user_id,feedback_system,feedback_rating,feedback_max_rating,feedback_ts
"POZJ3uOtEeSoXCIACw4Gzg",2baf0ded29340a3ad27222d0358ced6a65db6bd3,"STAR",5,5,2016-04-02 15:29:45.703
"POZJ3uOtEeSoXCIACw4Gzg",290b5b2db120a4cbc8dfdd669aa6570e5666f90e,"STAR",5,5,2015-09-28 11:10:20.327
"POZJ3uOtEeSoXCIACw4Gzg",4154d50b88f6eb3ac0912878ac2450135cea49dc,"NPS_FIRST_WEEK",10,10,2016-04-06 14:04:25.959
"POZJ3uOtEeSoXCIACw4Gzg",ffe9b56c9c27a5862cd2c0358d2e953c97a53591,"STAR",5,5,2015-09-10 05:34:42.063
"POZJ3uOtEeSoXCIACw4Gzg",1461e13ae1c5cef5a981356abd1b423939b123f6,"STAR",5,5,2016-02-04 06:50:03.553
"POZJ3uOtEeSoXCIACw4Gzg",e7dc1a14e0cd54e65d44a34ff0c81da410b85c2d,"STAR",5,5,2015-09-14 22:43:27.013
"POZJ3uOtEeSoXCIACw4Gzg",5494bbf33fb2e37a972428c9adb27a0cfa2b5da5,"STAR",4,5,2016-03-08 09:28:14.858
"POZJ3uOtEeSoXCIACw4Gzg",6bc532b4e4ccaa8d05226993b0ce661aed64dfd7,"STAR",5,5,2015-09-27 07:32:54.878
"POZJ3uOtEeSoXCIACw4Gzg",b4333abed7839e0c54bc2aed1dc688e9641d950d,"STAR",5,5,2016-01-06 07:37:05.961
"POZJ3uOtEeSoXCIACw4Gzg",5e2257084ca29b73a45964b307c6c941db138541,"STAR",5,5,2015-08-20 19:08:58.658
"POZJ3uOtEeSoXCIACw4Gzg",1d1059dd7ba2e645c634645311f8bd0cac6ed871,"STAR",5,5,2015-10-30 23:44:12.707
"POZJ3uOtEeSoXCIACw4Gzg",19b6b9e2883d5bb7358a79295e2448c5fd6f9458,"STAR",5,5,2016-02-14 09:07:30.08
"POZJ3uOtEeSoXCIACw4Gzg",0e3c73e57aac8b8482321bf30962dbc829340b54,"NPS_FIRST_WEEK",8,10,2016-04-01 11:54:13.701
"POZJ3uOtEeSoXCIACw4Gzg",1f9d135aa3695ac0a8341742d804b7f1f2b971fe,"NPS_END_OF_COURSE",9,10,2016-04-12 03:48:20.271
"POZJ3uOtEeSoXCIACw4Gzg",1f9d135aa3695ac0a8341742d804b7f1f2b971fe,"STAR",5,5,2015-09-18 13:25:41.425
"POZJ3uOtEeSoXCIACw4Gzg",bc65d12bfe399b9f2be2e1dab7606b74d5270be8,"STAR",5,5,2015-08-19 02:12:50.39
"POZJ3uOtEeSoXCIACw4Gzg",02019ebedc37afdda70b72b8b16c1b19772f521b,"STAR",5,5,2016-01-04 08:42:23.837
"POZJ3uOtEeSoXCIACw4Gzg",4c54227efbedd0794037b385f67995623dc20f17,"STAR",5,5,2015-08-23 10:39:25.985
"POZJ3uOtEeSoXCIACw4Gzg",471d40b52648c1c5bc69bc2782bb55c8bc0f9f2f,"STAR",5,5,2016-01-15 17:16:07.653
"POZJ3uOtEeSoXCIACw4Gzg",0f9271284c7bbce0941be3575e9ba8091fb9cc08,"STAR",5,5,2016-02-25 05:35:59.125
"POZJ3uOtEeSoXCIACw4Gzg",bf436d1bb198505782c50da99a1bbb73083aeae5,"STAR",5,5,2015-09-12 01:23:01.058
"POZJ3uOtEeSoXCIACw4Gzg",7ce05e6191efc291c58e4c82e8a98bdcc8f455ed,"STAR",5,5,2016-02-27 13:25:07.606
"POZJ3uOtEeSoXCIACw4Gzg",70237c3baf932f19779a621b07a6f273858d2933,"STAR",5,5,2015-10-19 00:11:45.158
"POZJ3uOtEeSoXCIACw4Gzg",b89b819231bc0b7390f11cac099463c98f11cb15,"NPS_FIRST_WEEK",10,10,2016-04-05 23:40:21.124
"POZJ3uOtEeSoXCIACw4Gzg",36c7d7d01a52a25421a68d6ca7cd517dbbac5e7e,"STAR",5,5,2016-01-15 05:13:05.819
"POZJ3uOtEeSoXCIACw4Gzg",1fba579e0ac8f260499cda2473ddcd48d4d89ea1,"STAR",5,5,2015-10-16 00:49:39.653
"POZJ3uOtEeSoXCIACw4Gzg",9482086413563ef4b10dbf6e3467b66b9cc087e4,"STAR",5,5,2016-02-18 20:22:53.12
"POZJ3uOtEeSoXCIACw4Gzg",136581c345678adb270d9d217b3187a12ce298a3,"STAR",5,5,2016-04-07 01:11:17.941
"POZJ3uOtEeSoXCIACw4Gzg",6a8408567d3f6131d2b14bdd22c37fee7f707b07,"STAR",5,5,2015-11-28 13:22:01.436
"POZJ3uOtEeSoXCIACw4Gzg",497b34959f209dcbf14224723ee69f8bb891a56e,"STAR",5,5,2016-01-19 08:39:48.94
"POZJ3uOtEeSoXCIACw4Gzg",dd3baebe69d703595b3721fbe2c0848a2db78b3b,"STAR",5,5,2015-10-15 04:32:15.168
"POZJ3uOtEeSoXCIACw4Gzg",714a2e3a2d2e1abee4ccdae43873e07db5114cf4,"NPS_END_OF_COURSE",8,10,2016-03-25 07:21:39.011
"POZJ3uOtEeSoXCIACw4Gzg",2a8219c95384f36c1c460ffa0ff6920469ef5e7e,"STAR",5,5,2015-12-17 14:14:33.109
"POZJ3uOtEeSoXCIACw4Gzg",fddc6fc49002a26b650470ea0c15885800c7c909,"STAR",5,5,2015-08-16 03:06:25.864
"POZJ3uOtEeSoXCIACw4Gzg",0586d08bc9154622a4417bb65ca915d1109a1871,"STAR",5,5,2016-01-11 21:50:30.584
"POZJ3uOtEeSoXCIACw4Gzg",3d164e54abeba2e398be37ecb1654b32e2308fb0,"STAR",5,5,2015-10-17 09:52:24.094
"POZJ3uOtEeSoXCIACw4Gzg",6d079660eb4a04503748685b12a48e3279d34e17,"STAR",5,5,2015-09-17 08:12:09.506
"POZJ3uOtEeSoXCIACw4Gzg",9bea8a90e18fe3f2d84c61a75e10a36ea52809f7,"STAR",5,5,2015-12-04 04:00:25.155
"POZJ3uOtEeSoXCIACw4Gzg",1abf75c14eaa13cf2588fb7c2aaa8cbbc2faad58,"STAR",5,5,2015-08-07 03:29:45.873
"POZJ3uOtEeSoXCIACw4Gzg",689f6625df9ec574adc8a7c132d9b8f0510a805e,"STAR",5,5,2016-03-15 09:47:34.684
"POZJ3uOtEeSoXCIACw4Gzg",68eb32db3c0379901c57cb6d0a001751d026d4b0,"NPS_FIRST_WEEK",5,10,2016-03-28 15:41:01.731
"POZJ3uOtEeSoXCIACw4Gzg",e4a334182c40437b3b9e975854521b4760466346,"STAR",5,5,2015-10-29 07:52:35.947
"POZJ3uOtEeSoXCIACw4Gzg",7cc2d9c77f15b714954e8bcf26a370585ae2fd9b,"STAR",5,5,2015-11-13 08:36:46.793
"POZJ3uOtEeSoXCIACw4Gzg",ab52b7ddb42bde47325a69a1fbda9cc60b8c76e5,"STAR",5,5,2015-10-03 06:01:18.126
"POZJ3uOtEeSoXCIACw4Gzg",51d1b7477a04a639f5c5a2175d7e4ebddfdecb5a,"STAR",5,5,2015-10-06 06:01:48.246
"POZJ3uOtEeSoXCIACw4Gzg",e31e7cb49802b1a85ea4bf427f170418cf19430a,"STAR",5,5,2015-10-21 05:36:08.872
"POZJ3uOtEeSoXCIACw4Gzg",003b959f0ea1425ee0c8de297c6093d74872360f,"NPS_FIRST_WEEK",10,10,2016-03-17 15:12:31.885
"POZJ3uOtEeSoXCIACw4Gzg",fc5b2fe784870058e5d76e17e8b2b38972cb44da,"STAR",4,5,2016-04-07 08:08:13.461
"POZJ3uOtEeSoXCIACw4Gzg",f338896a2adac287aa504a923e1cbecffa4fa61c,"STAR",5,5,2015-11-28 12:51:26.261
"POZJ3uOtEeSoXCIACw4Gzg",3ae633215453fc581e654958368b424b8ac7aee1,"STAR",5,5,2016-01-03 08:30:53.881
"POZJ3uOtEeSoXCIACw4Gzg",3dca9df3cc383d088aca9d03467e2ac841ad0b7d,"STAR",5,5,2016-02-27 06:25:58.681
"POZJ3uOtEeSoXCIACw4Gzg",232848d61ab8387f93d15c0c615e2643d17c7cfc,"STAR",5,5,2015-12-17 05:37:49.268
"POZJ3uOtEeSoXCIACw4Gzg",54cf0f19fdd5ba9dfeae31cb1e151eccad67264e,"STAR",5,5,2015-12-04 13:12:55.381
"POZJ3uOtEeSoXCIACw4Gzg",eb25c48504b85bcb028caafa46d58874c1f5feac,"NPS_END_OF_COURSE",10,10,2016-04-09 08:36:55.042
"POZJ3uOtEeSoXCIACw4Gzg",eb25c48504b85bcb028caafa46d58874c1f5feac,"STAR",5,5,2016-03-07 15:38:18.931
"POZJ3uOtEeSoXCIACw4Gzg",984b4c566907b01aec1a6c8e16042432bfb13fbb,"NPS_FIRST_WEEK",8,10,2016-03-30 13:30:50.914
"POZJ3uOtEeSoXCIACw4Gzg",b852cc91ec35c14012de7d9bef50fdf472b2383b,"STAR",5,5,2015-12-31 13:15:10.697
"POZJ3uOtEeSoXCIACw4Gzg",6715090d2a978cd80449eda541c5700574774044,"STAR",4,5,2015-12-30 02:15:53.642
"POZJ3uOtEeSoXCIACw4Gzg",076e7561d640329c3d9b57873a2185aba94f92ce,"STAR",5,5,2016-01-17 07:39:29.459
"POZJ3uOtEeSoXCIACw4Gzg",c87775fafadae4220bf971b295359265f37cf157,"STAR",5,5,2016-01-05 11:29:04.257
"POZJ3uOtEeSoXCIACw4Gzg",7918b397be8f7228ba264a565fee4ac5ee078477,"STAR",5,5,2016-02-25 17:49:38.133
"POZJ3uOtEeSoXCIACw4Gzg",5c6ad6a04fbca5c261caf1ee81478f4d968d6d51,"STAR",5,5,2016-03-06 00:26:52.58
"POZJ3uOtEeSoXCIACw4Gzg",f2a8be29ac36e7d3daecd57a4cff730b8ab3188c,"NPS_FIRST_WEEK",8,10,2016-03-28 16:05:09.626
"POZJ3uOtEeSoXCIACw4Gzg",0110bdf0d79ba299d251ca9bce708c6e3f9f7814,"NPS_FIRST_WEEK",6,10,2016-03-22 13:28:53.889
"POZJ3uOtEeSoXCIACw4Gzg",e49ca632ffb8fb901cd9c3da924be4d88a50f251,"NPS_FIRST_WEEK",9,10,2016-03-30 20:43:04.875
"POZJ3uOtEeSoXCIACw4Gzg",3d24b2faa414ff0a5297a2747b683a8c96e5c490,"NPS_FIRST_WEEK",6,10,2016-04-10 11:44:13.678
