taiwan_discussions_user_id,course_id,discussion_question_id,discussion_question_following_active,discussion_question_following_ts
191552683106db31543b7c0b349f91274832720c,"POZJ3uOtEeSoXCIACw4Gzg","idyKoinwEeWmViIAC5MTmg",t,2015-07-15 02:08:06.668
62e36677e249c31b4d42049123ab97a48ef70404,"POZJ3uOtEeSoXCIACw4Gzg","idyKoinwEeWmViIAC5MTmg",t,2015-07-15 05:26:21.536
62e36677e249c31b4d42049123ab97a48ef70404,"POZJ3uOtEeSoXCIACw4Gzg","idyKoinwEeWmViIAC5MTmg",t,2015-07-14 06:21:18.673
62e36677e249c31b4d42049123ab97a48ef70404,"POZJ3uOtEeSoXCIACw4Gzg","idyKoinwEeWmViIAC5MTmg",f,2015-07-15 05:26:17.417
459ab83f3ee8f83d360a60aba84e1fa93a838395,"POZJ3uOtEeSoXCIACw4Gzg","oI_-RDX8EeWNVyIAC0uErA",t,2015-08-10 15:53:44.219
deb0b159ca0a10437ff74a21cc76f844f7638705,"POZJ3uOtEeSoXCIACw4Gzg","oI_-RDX8EeWNVyIAC0uErA",t,2015-07-29 14:18:04.684
0667c5dedb21c5c51512883adc2e8e0df7cc2532,"POZJ3uOtEeSoXCIACw4Gzg","YaWVdmXREeWEHBK0qnR5nQ",t,2015-09-28 11:09:26.581
19cf6e5c978d57422143dc4eb6f4ddd7782eec16,"POZJ3uOtEeSoXCIACw4Gzg","Z8qMLB29EeWYoCIAC5MBcw",t,2015-06-28 17:45:03.227
d235fb54ad258037707b6efbade1e76e954d84a5,"POZJ3uOtEeSoXCIACw4Gzg","Z8qMLB29EeWYoCIAC5MBcw",t,2015-06-30 12:43:42.903
1ba0e2f9e7e959b36de8c1b48407df0f1e999bd1,"POZJ3uOtEeSoXCIACw4Gzg","G28A4UNnEeWPFgp1wk3USw",t,2015-08-15 16:03:02.592
6e182d19b91c38f96851cb1ab10694da15f53f55,"POZJ3uOtEeSoXCIACw4Gzg","DPFBUC9OEeWOkCIAC4UG7w",t,2015-10-19 11:32:16.575
6e182d19b91c38f96851cb1ab10694da15f53f55,"POZJ3uOtEeSoXCIACw4Gzg","DPFBUC9OEeWOkCIAC4UG7w",f,2015-10-19 11:32:14.209
6e182d19b91c38f96851cb1ab10694da15f53f55,"POZJ3uOtEeSoXCIACw4Gzg","DPFBUC9OEeWOkCIAC4UG7w",t,2015-07-21 02:13:17.69
86eae829a7e193292f4355b632a68159f93dd0a6,"POZJ3uOtEeSoXCIACw4Gzg","DPFBUC9OEeWOkCIAC4UG7w",t,2016-01-06 14:49:40.243
1115a3d8d8099f51bf4f11a1f1df325e70cf3267,"POZJ3uOtEeSoXCIACw4Gzg","DPFBUC9OEeWOkCIAC4UG7w",t,2015-10-09 04:51:10.273
7e8b3442517dd86a73893dd9d1776254032016b3,"POZJ3uOtEeSoXCIACw4Gzg","ClqcI1tbEeWWvApdRud_EQ",t,2015-09-15 03:37:07.886
d235fb54ad258037707b6efbade1e76e954d84a5,"POZJ3uOtEeSoXCIACw4Gzg","l3YWphV6EeWM2iIAC0KUpw",t,2015-06-18 16:40:09.055
b81910dac1005a7f53e176a6078d40155258d6ee,"POZJ3uOtEeSoXCIACw4Gzg","ejBUFRUHEeWd3iIAC7VAtA",t,2015-06-17 15:42:36.385
496dc708cfc3cc34aeb838427cbc6046cce48a45,"POZJ3uOtEeSoXCIACw4Gzg","ejBUFRUHEeWd3iIAC7VAtA",t,2015-06-17 21:43:28.112
daf160333d7554ebada7ad8286b291b220668504,"POZJ3uOtEeSoXCIACw4Gzg","l3YWphV6EeWM2iIAC0KUpw",t,2015-06-18 23:57:53.921
3f94dde37aee84e8d4d360db14ad689208037685,"POZJ3uOtEeSoXCIACw4Gzg","8EGVKxYsEeWYoCIAC5MBcw",t,2015-06-19 13:26:41.938
debe998bc157c505385fb0724e7cd48f8d5c5bee,"POZJ3uOtEeSoXCIACw4Gzg","KoTQfDT_EeWNVyIAC0uErA",t,2015-07-28 08:03:43.953
d3560062c8caf9e361c94cec70ad6f9fff76fff7,"POZJ3uOtEeSoXCIACw4Gzg","8EGVKxYsEeWYoCIAC5MBcw",t,2015-06-19 02:43:17.025
d235fb54ad258037707b6efbade1e76e954d84a5,"POZJ3uOtEeSoXCIACw4Gzg","8EGVKxYsEeWYoCIAC5MBcw",t,2015-06-20 00:38:31.864
6984ab2209f80a79ab89678418d2bb1928178616,"POZJ3uOtEeSoXCIACw4Gzg","8EGVKxYsEeWYoCIAC5MBcw",t,2015-07-09 09:47:45.466
