taiwan_discussions_user_id,course_id,discussion_answer_id,discussion_answer_vote_value,discussion_answer_vote_ts
0390508a61b1f2a939c50c5eb0aa53a19e9c9642,"POZJ3uOtEeSoXCIACw4Gzg","C_sxyxSsEeWd3iIAC7VAtA",1,2015-06-17 11:42:19.014
21016f8502f226dea54778fea0b44815bb1856e9,"POZJ3uOtEeSoXCIACw4Gzg","tKspeTZeEeWV8SIACyyfnQ",0,2015-12-10 08:17:24.779
21016f8502f226dea54778fea0b44815bb1856e9,"POZJ3uOtEeSoXCIACw4Gzg","tKspeTZeEeWV8SIACyyfnQ",1,2015-12-10 08:17:22.821
ce4a95e007ec845979fa8a360115aaaecb594994,"POZJ3uOtEeSoXCIACw4Gzg","tKspeTZeEeWV8SIACyyfnQ",1,2015-08-01 07:00:23.345
632ff010c423af96d140bbf44bc372a1395af3a8,"POZJ3uOtEeSoXCIACw4Gzg","tKspeTZeEeWV8SIACyyfnQ",1,2015-08-17 15:41:28.332
bc42fedcf65c0f9df4abe2f994f976934065ba6b,"POZJ3uOtEeSoXCIACw4Gzg","tKspeTZeEeWV8SIACyyfnQ",1,2015-08-09 09:18:17.547
13a78647c7f043a45742efa385e9c2259f1c59fc,"POZJ3uOtEeSoXCIACw4Gzg","tKspeTZeEeWV8SIACyyfnQ",1,2015-08-05 06:47:34.231
46d9b0a033a84a0c59d319a5190e38b686c6ee40,"POZJ3uOtEeSoXCIACw4Gzg","fup_dSYEEeWAsyIACnuV7A",1,2015-07-10 01:49:08.078
46d9b0a033a84a0c59d319a5190e38b686c6ee40,"POZJ3uOtEeSoXCIACw4Gzg","CVwsQhWEEeWHGCIACznL2w",1,2015-07-09 01:00:12.466
e9200bfc8fa6d5c064a2e1a6dbb1af5f0719d702,"POZJ3uOtEeSoXCIACw4Gzg","g3-4QhsFEeWYoCIAC5MBcw",1,2015-07-10 22:20:01.688
ada77f3d1d502cef10394570987920ccd7256e7f,"POZJ3uOtEeSoXCIACw4Gzg","BL54DSV5EeWeUyIAC44Ejw",1,2015-08-08 15:49:33.304
ada77f3d1d502cef10394570987920ccd7256e7f,"POZJ3uOtEeSoXCIACw4Gzg","BL54DSV5EeWeUyIAC44Ejw",1,2015-08-08 15:49:33.298
1115a3d8d8099f51bf4f11a1f1df325e70cf3267,"POZJ3uOtEeSoXCIACw4Gzg","WJDY8oCYEeWxYwrkXXmVqQ",1,2015-11-01 15:43:07.398
