course_id,on_demand_session_id,taiwan_user_id,on_demand_sessions_membership_start_ts,on_demand_sessions_membership_end_ts
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",775bde1ba065a2a8ceec0e1e63d3d7aae0066f12,2016-04-12 04:52:45.732,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",99a70856cd8d81221ea2beb16293a2c59931b4b2,2016-04-07 07:09:53.024,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",697fb7353043ef5054ebb282fea495f86aea8448,2016-04-02 14:45:59.211,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",afbf60c6ec47f1497b5ca957d6a0f2046349dabb,2016-03-31 09:52:02.206,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",fbd22e089b7c60c9dc3df7678f48c7f0cfdff955,2016-03-30 01:29:52.939,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",61db790fa07514971f88ee5264791f34c48e4ccb,2016-04-01 15:48:39.774,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",6bc1dc7de508da9c0082c71648b6e0e978fe26a9,2016-04-06 00:00:24.857,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",b528bb836c0676e566cf3f06285eeb3e67e466dc,2016-03-26 09:18:07.006,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",aeb5464b948628f64a1a30b21655d7c3d60f5bb9,2016-03-31 15:03:29.536,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",93dc5f2e76d169f2b6329c0b18e83da85198c76a,2016-03-24 12:58:52.755,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",9c0822e847e5c2b439ff15c066e9ea4b54e355cb,2016-04-05 02:40:31.751,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",3a615809760de9877411014249dbbace48c28420,2016-04-15 15:09:07.838,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",ef390b976d6e1aa3db0087c7e1dc2689d7f18730,2016-04-13 05:33:01.92,
"POZJ3uOtEeSoXCIACw4Gzg","CT_Uhe-dEeWkUAr_DMJ5Lw",04dfcd3d756435e87e883dd60bf64dd2b1c09515,2016-04-08 09:34:42.484,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",70511e8527b352df0bccfb593c872f83a16651d3,2016-03-25 14:50:52,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",6c06e561d67aef56fa47fa94fadc549416309bce,2016-03-23 10:56:02.113,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",e406e59bce54b94f8152b44d732c95d81240e86b,2016-03-30 15:35:35.704,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",bfed9d5123f3aca132405d51ec0beccae79e5255,2016-03-23 15:24:49.59,
"POZJ3uOtEeSoXCIACw4Gzg","LtDEUe-UEeWB0QpuSDkq-Q",30d1b8955f9cc1d4bf2425bd26d04e5f5755d48a,2016-03-23 05:55:19.204,
